Id,Predicted
1,20.46235045169898
2,23.78278555635216
3,20.88903110538442
4,24.232549860386747
5,22.718604424044685
6,25.885753880571023
7,24.87197923808416
8,28.15871823665502
9,35.038288159209785
10,33.60124668604038
11,32.652017380555066
12,30.240167161733403
13,34.249183442313736
14,35.182111847083036
15,39.890476915771956
16,32.86152834033736
17,33.9196988401116
18,27.540498258192272
19,29.86341051787335
20,25.72817350261247
21,27.36097081772637
22,33.99984497022404
23,26.890028276125456
24,32.78833071907102
25,34.221674489538444
26,32.48467286980478
27,20.469430728497194
28,22.655157889310733
29,25.697632967003464
30,23.448465275987957
31,27.02723002701415
32,25.692887422461094
33,27.363700477054675
34,28.36502091548886
35,26.782626983238536
36,33.4520942744052
37,25.406344287116227
38,26.32810478078686
39,20.598970161199738
40,18.739741451168626
41,22.816949417629328
42,26.793980289623935
43,33.018902892768835
44,31.26364689258083
45,28.736096213833616
46,21.935416430794653
47,27.980314970109013
48,32.8681451111747
49,33.65915868397495
50,38.04509881715728
51,35.21427292893904
52,39.38837141946583
53,35.92066772938644
54,19.82509760881168
55,34.757654914563716
56,31.9107734209736
57,26.73104418427222
58,26.895734125558235
59,22.606426933334312
60,20.741906881316922
61,17.134392358261024
62,15.225594821730283
63,17.415562007328273
64,18.146543861721852
65,18.63796421641144
66,20.99635998237065
67,17.240928544886128
68,21.63087642461668
69,18.677362626718512
70,20.74878962030109
71,29.869542540656386
72,31.20984517548233
73,25.36049815023441
74,43.6237017975797
75,34.261448251800054
76,36.24496211475484
77,39.713490667549145
78,25.67279683435219
79,29.66837781370628
80,25.21977475398427
81,23.681248325186115
82,29.069941965307887
83,26.043682752810106
84,21.666655569734914
85,25.283000726296322
86,23.085696073363707
87,26.296272862867582
88,24.561443273848703
89,20.591661254249573
90,20.496808399824886
91,19.61001627441729
92,25.92773779512726
93,26.214910729393196
94,22.96777723486136
95,27.91826570450651
96,30.967011987662413
97,26.783313126843414
98,31.55462698075782
99,39.471203609559396
100,46.67432597106772
101,33.7698559289086
102,17.600628891804615
103,20.191222034388346
104,17.89546426339972
105,17.36777084053808
106,24.93289426876162
107,29.03270565417568
108,30.28993567439776
109,18.09018080749521
110,17.66150586447843
111,18.717829761184852
112,16.50163217333693
113,21.17877925752162
114,27.93815636560364
115,18.203101442018216
116,22.988502425781398
117,24.015404144165537
118,30.15084511897215
119,25.066485713388108
120,26.137746719336263
121,24.668566648152265
122,23.606682661588902
123,26.42686594948164
124,29.7156484902272
125,41.040147402023194
126,28.8085728066862
127,38.39083886425817
128,34.666225448355064
129,30.86088180629004
130,35.78154434612111
131,33.15240319405002
132,39.19626411492615
133,25.383419874875308
134,25.99984870329262
