id,label
0,5
1,4
2,6
3,6
4,0
5,2
6,4
7,3
8,4
9,3
10,1
11,3
12,4
13,4
14,3
15,1
16,0
17,4
18,6
19,5
20,3
21,3
22,3
23,3
24,2
25,3
26,3
27,2
28,6
29,5
30,6
31,3
32,2
33,3
34,0
35,0
36,4
37,6
38,3
39,4
40,4
41,6
42,4
43,2
44,5
45,3
46,6
47,6
48,6
49,0
50,3
51,3
52,5
53,6
54,3
55,2
56,0
57,6
58,3
59,3
60,6
61,3
62,0
63,6
64,4
65,4
66,4
67,3
68,3
69,3
70,5
71,2
72,5
73,6
74,3
75,4
76,0
77,3
78,6
79,6
80,6
81,4
82,2
83,6
84,4
85,0
86,5
87,2
88,4
89,3
90,6
91,3
92,5
93,5
94,6
95,0
96,2
97,4
98,3
99,3
100,3
101,6
102,2
103,3
104,4
105,6
106,0
107,0
108,3
109,3
110,3
111,6
112,3
113,4
114,6
115,3
116,5
117,6
118,6
119,4
120,0
121,0
122,4
123,3
124,1
125,5
126,5
127,3
128,2
129,3
130,4
131,3
132,6
133,3
134,4
135,2
136,4
137,3
138,5
139,2
140,6
141,3
142,5
143,5
144,2
145,4
146,5
147,2
148,4
149,3
150,5
151,4
152,6
153,5
154,6
155,5
156,3
157,6
158,4
159,3
160,6
161,6
162,6
163,3
164,6
165,2
166,4
167,4
168,5
169,2
170,6
171,4
172,2
173,3
174,1
175,5
176,6
177,2
178,5
179,3
180,6
181,3
182,3
183,3
184,3
185,3
186,6
187,3
188,4
189,6
190,3
191,3
192,0
193,0
194,0
195,4
196,3
197,6
198,2
199,0
200,5
201,4
202,6
203,3
204,2
205,4
206,5
207,3
208,4
209,2
210,6
211,0
212,2
213,0
214,3
215,2
216,5
217,2
218,2
219,4
220,4
221,3
222,4
223,4
224,5
225,4
226,2
227,4
228,6
229,0
230,4
231,1
232,4
233,1
234,3
235,6
236,6
237,0
238,0
239,6
240,6
241,3
242,0
243,2
244,2
245,6
246,3
247,6
248,2
249,4
250,5
251,5
252,3
253,3
254,6
255,6
256,3
257,6
258,2
259,0
260,4
261,0
262,5
263,3
264,3
265,3
266,4
267,0
268,0
269,3
270,2
271,2
272,6
273,6
274,2
275,2
276,5
277,3
278,3
279,2
280,3
281,5
282,6
283,3
284,4
285,1
286,0
287,2
288,5
289,4
290,0
291,3
292,4
293,0
294,4
295,4
296,6
297,5
298,6
299,3
300,3
301,3
302,6
303,3
304,4
305,0
306,5
307,5
308,6
309,3
310,0
311,2
312,3
313,3
314,5
315,0
316,6
317,4
318,4
319,0
320,3
321,4
322,4
323,2
324,4
325,4
326,4
327,4
328,3
329,6
330,3
331,4
332,2
333,6
334,6
335,0
336,3
337,5
338,2
339,3
340,5
341,0
342,3
343,6
344,4
345,3
346,3
347,6
348,3
349,6
350,4
351,0
352,2
353,5
354,5
355,4
356,5
357,6
358,3
359,3
360,2
361,5
362,3
363,5
364,3
365,6
366,4
367,4
368,2
369,4
370,0
371,6
372,6
373,6
374,4
375,4
376,5
377,3
378,3
379,5
380,4
381,2
382,5
383,4
384,2
385,6
386,5
387,4
388,5
389,6
390,3
391,2
392,6
393,3
394,0
395,0
396,3
397,2
398,3
399,3
400,3
401,3
402,6
403,6
404,2
405,5
406,5
407,6
408,3
409,4
410,3
411,1
412,3
413,1
414,4
415,4
416,2
417,0
418,3
419,3
420,6
421,6
422,0
423,3
424,2
425,0
426,2
427,2
428,2
429,1
430,5
431,3
432,2
433,0
434,3
435,2
436,2
437,3
438,5
439,4
440,1
441,3
442,4
443,4
444,6
445,2
446,4
447,5
448,4
449,4
450,0
451,6
452,4
453,3
454,4
455,3
456,6
457,4
458,4
459,6
460,3
461,6
462,6
463,4
464,4
465,0
466,3
467,6
468,3
469,2
470,3
471,3
472,0
473,6
474,2
475,3
476,3
477,6
478,4
479,6
480,3
481,4
482,6
483,0
484,6
485,2
486,6
487,3
488,0
489,5
490,4
491,2
492,3
493,3
494,2
495,6
496,6
497,4
498,5
499,2
500,3
501,4
502,6
503,3
504,3
505,4
506,3
507,6
508,4
509,6
510,3
511,6
512,6
513,0
514,3
515,4
516,4
517,3
518,6
519,3
520,0
521,4
522,0
523,0
524,3
525,3
526,0
527,3
528,3
529,3
530,3
531,5
532,3
533,6
534,0
535,4
536,2
537,3
538,3
539,3
540,2
541,5
542,2
543,4
544,3
545,0
546,4
547,6
548,3
549,3
550,2
551,2
552,4
553,3
554,4
555,0
556,4
557,4
558,0
559,4
560,5
561,3
562,4
563,3
564,3
565,3
566,3
567,4
568,4
569,3
570,3
571,5
572,3
573,0
574,2
575,0
576,3
577,2
578,0
579,2
580,0
581,0
582,2
583,5
584,4
585,0
586,3
587,4
588,1
589,3
590,2
591,3
592,3
593,4
594,0
595,0
596,3
597,3
598,2
599,5
600,6
601,0
602,5
603,0
604,6
605,2
606,2
607,2
608,3
